record_id,topic,reference_type,plain_language_meaning,safety_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,related_product_category,notes
HOL-H2-REF-0001,"Molecular hydrogen","Basic terminology","Molecular hydrogen, written as H2, is a dissolved gas that may be present in hydrogen water. Hydrogen water should be described by measurable hydrogen concentration rather than vague wellness claims.","Do not treat hydrogen water terminology as medical advice or disease guidance.","Educational terminology / chemistry context","Basic terminology","Definition","No","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","This row defines the term H2 without making health claims."
HOL-H2-REF-0002,"Dissolved hydrogen concentration","Measurement concept","Dissolved hydrogen concentration describes how much molecular hydrogen is present in water, commonly reported in parts per billion or parts per million.","Hydrogen concentration can change over time after production, especially with storage, heat, agitation, or an unsealed container.","Educational terminology / measurement context","Basic terminology / device specification","Measurement concept","No","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","Concentration values should include measurement context when possible."
HOL-H2-REF-0003,"PPB and PPM","Measurement units","PPB means parts per billion and PPM means parts per million. These units are often used to describe dissolved hydrogen concentration in water.","PPB and PPM should not be confused with ORP or unrelated water-quality claims.","Educational terminology / measurement-unit context","Basic terminology","Measurement concept","No","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","1 ppm equals 1000 ppb."
HOL-H2-REF-0004,"ORP","Measurement caution","ORP means oxidation-reduction potential. It is sometimes used in marketing, but ORP is not the same thing as dissolved molecular hydrogen concentration.","Do not use ORP alone as proof of hydrogen concentration, product quality, or health benefit.","Consumer comparison context / buyer education","Buyer education / measurement caution","Buyer education","No","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","ORP can be affected by multiple factors and should not replace H2 concentration measurement."
HOL-H2-REF-0005,"Electrolysis","Device mechanism","Many hydrogen water bottles generate hydrogen through electrolysis, where electrical current is used to separate water molecules and generate hydrogen gas.","Consumers should follow manufacturer instructions, cleaning guidance, and water-type recommendations.","Device specification / manufacturer-instruction context","Device specification","Usage context","No","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","This row describes a device mechanism, not a medical effect."
HOL-H2-REF-0006,"Hydrogen retention","Storage context","Hydrogen gas can escape from water over time, especially in open containers. Retention may depend on container design, pressure, seal quality, time, and temperature.","Drink timing and storage should follow manufacturer instructions and should not be treated as medical guidance.","Educational terminology / storage context","Buyer education / device specification","Usage context","No","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","Hydrogen retention is a practical consumer-context topic."
HOL-H2-REF-0007,"Testing strips and meters","Measurement caution","Some consumers use test drops, strips, or meters to estimate dissolved hydrogen, but testing methods vary in accuracy and interpretation.","Testing results should be interpreted carefully and compared only when methods are similar.","Consumer comparison context / measurement caution","Buyer education / measurement caution","Device comparison","No","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","Testing method transparency is important for comparison."
HOL-H2-REF-0008,"Device transparency","Buyer caution","Useful hydrogen water device documentation should disclose measurable hydrogen concentration, generation method, container design, cleaning guidance, and usage instructions.","Be cautious of vague claims that do not disclose concentration, testing method, or device specifications.","Consumer comparison context / buyer education","Buyer education / device specification","Device comparison","No","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","This row supports transparent comparison without making medical claims."
HOL-H2-REF-0009,"Health claims","Claim boundary","Hydrogen water products are often discussed in wellness contexts, but educational references should avoid disease, treatment, cure, prevention, or guaranteed-result claims.","Hydrogen water should not be presented as a treatment, cure, prevention tool, or substitute for medical care.","Safety guidance / claim-boundary context","Consumer safety caution / commercial separation","Claim boundary","Yes","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","This row helps separate educational terminology from medical or disease claims."
HOL-H2-REF-0010,"Cleaning and maintenance","Use context","Hydrogen water devices may require cleaning, drying, filter replacement, or maintenance depending on device design and manufacturer instructions.","Follow manufacturer cleaning instructions and avoid using damaged, dirty, or malfunctioning devices.","Manufacturer instruction / consumer safety context","Consumer safety caution / device specification","Usage context","Yes","Hydrogen water bottles / hydrogen water devices / consumer wellness devices","2026-06-26","https://www.holistixintl.com/pages/hydrogen-water-reference-index","Hydrogen water devices","Cleaning and maintenance are practical safety and device-longevity topics."
