record_id,topic,reference_type,plain_language_meaning,safety_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,related_product_category,notes,source_name,source_url,citation_note
BLUE-001,Blue light,Definition,"Blue light is a visible-light range often discussed in screen exposure, circadian rhythm, dermatology, acne-care devices, and controlled light-therapy contexts.",The term blue light by itself should not be treated as proof of a medical or cosmetic result.,Educational terminology / device-category context,Basic terminology,Definition,No,Helps explain broad blue light terminology without overclaiming.,2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,Use as the neutral opening definition.,Blue Light in Dermatology,https://www.mdpi.com/2075-1729/11/7/670,"Use for blue-light wavelength range and dermatology-context terminology. Keep as educational spectrum context, not treatment guidance."
BLUE-002,Controlled blue light therapy,Therapy context,"Controlled blue light therapy generally refers to structured light exposure using defined wavelengths, intensity, distance, and exposure time.",Controlled-use language should not be converted into disease-treatment or home-use protocols without appropriate evidence and professional guidance.,Safety guidance / claim-boundary context,Measurement caution,Usage context,Yes,Separates controlled light-therapy contexts from vague consumer marketing.,2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,Avoid creating dosage protocols.,Blue Light in Dermatology,https://www.mdpi.com/2075-1729/11/7/670,"Use for blue-light wavelength range and dermatology-context terminology. Keep as educational spectrum context, not treatment guidance."
BLUE-003,Blue light and skin-care devices,Device category,"Some consumer skin-care devices use blue light as part of acne-care, blemish-care, or general skin-appearance positioning.","Cosmetic language should not become a claim to diagnose, treat, cure, or prevent a disease unless supported by proper regulatory clearance and evidence.",Consumer comparison context / buyer education,Buyer education / device specification,Device comparison,Yes,Relevant to beauty and skin-care device comparison pages.,2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,Keep cosmetic and medical language separate.,Effect of Blue Light on Acne Vulgaris: A Systematic Review,https://www.mdpi.com/1424-8220/21/20/6943,Use as review-level context for blue light and acne-related research. Do not use as a product efficacy guarantee or treatment protocol.
BLUE-004,Acne claim boundary,Claim boundary,"Blue light is often discussed in relation to acne-care devices, but consumer claims need careful wording.","Avoid claiming a device treats acne or any skin disease unless claims are supported by appropriate evidence, intended-use language, and regulatory status.",Safety guidance / claim-boundary context,Commercial separation,Claim boundary,Yes,Protects Holistix product and education copy from overstated skin claims.,2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,Important compliance row.,Effect of Blue Light on Acne Vulgaris: A Systematic Review,https://www.mdpi.com/1424-8220/21/20/6943,Use as review-level context for blue light and acne-related research. Do not use as a product efficacy guarantee or treatment protocol.
BLUE-005,Eye exposure,Safety caution,"Blue light can be bright or uncomfortable, and direct viewing of intense LEDs may create eye strain or safety concerns depending on device design.","Do not stare into LEDs. Follow manufacturer eye-protection instructions, especially with bright facial devices or panel-style devices.",Manufacturer instruction / consumer safety context,Consumer safety caution,Safety caution,Yes,"Important for face masks, panels, and handheld light devices.",2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,Eye safety row should stay visible.,Blue Light in Dermatology,https://www.mdpi.com/2075-1729/11/7/670,"Use for blue-light wavelength range and dermatology-context terminology. Keep as educational spectrum context, not treatment guidance."
BLUE-006,Photosensitivity,Safety context,"Some people may be more sensitive to light because of medications, skin conditions, eye conditions, or individual sensitivity.",People with photosensitivity concerns or relevant medication use should consult a qualified healthcare professional before using bright light devices.,Safety guidance / claim-boundary context,Consumer safety caution,Safety caution,Yes,Supports conservative safety language for light-based products.,2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,No medical screening protocol.,Ocular hazards of blue-light therapy in dermatology,https://www.jaad.org/article/S0190-9622(10)02150-X/fulltext,Use for eye-safety caution around blue-light therapy. Preserve manufacturer eye-protection guidance and avoid personalized medical advice.
BLUE-007,Screen blue light,Exposure context,"Screen-related blue light is different from controlled light-therapy devices because screens vary in brightness, timing, distance, duration, and surrounding environment.",Do not treat screen-exposure concerns as the same category as controlled therapeutic or cosmetic blue light devices.,Educational terminology / device-category context,Measurement caution,Measurement concept,No,Helps separate common screen-blue-light searches from device therapy claims.,2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,Useful SEO/AI clarity row.,Safety and Effectiveness of a New Blue Light Device for the Self-treatment of Mild-to-moderate Acne,https://pmc.ncbi.nlm.nih.gov/articles/PMC3366451/,Use for controlled-device dose and exposure-parameter context. Do not convert study parameters into general consumer recommendations.
BLUE-008,Circadian timing,Usage context,"Blue light timing can matter because bright light exposure, especially at night, is often discussed in relation to alertness and circadian rhythms.",This dataset does not provide sleep-treatment advice or medical guidance. Users with sleep disorders should consult a qualified professional.,Scientific review,Research context,Usage context,Yes,Allows careful discussion of timing without claiming sleep treatment.,2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,Keep non-medical and general.,Safety and Effectiveness of a New Blue Light Device for the Self-treatment of Mild-to-moderate Acne,https://pmc.ncbi.nlm.nih.gov/articles/PMC3366451/,Use for controlled-device dose and exposure-parameter context. Do not convert study parameters into general consumer recommendations.
BLUE-009,Wavelength disclosure,Specification field,"A useful blue light device listing should disclose wavelength range, LED type, intended use, power or irradiance information when available, safety warnings, and instructions.","If exact wavelength or output data are unavailable, copy should say so instead of implying precision.",Device specification / manufacturer-instruction context,Device specification,Specification field,No,Supports cleaner product-page and comparison-page language.,2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,Good row for product-spec audits.,Blue Light in Dermatology,https://www.mdpi.com/2075-1729/11/7/670,"Use for blue-light wavelength range and dermatology-context terminology. Keep as educational spectrum context, not treatment guidance."
BLUE-010,Irradiance and distance,Measurement concept,"Blue light exposure depends on output intensity, distance from the device, area covered, and exposure time.",Avoid copying clinical or online exposure protocols into consumer use instructions unless they match the device and intended use.,Manufacturer instruction / consumer safety context,Measurement caution,Measurement concept,Yes,Prevents generic protocol language from becoming unsafe advice.,2026-06-26,https://www.holistixintl.com/pages/blue-light-therapy-reference-index,Blue light wellness devices,No dosage instructions.,Safety and Effectiveness of a New Blue Light Device for the Self-treatment of Mild-to-moderate Acne,https://pmc.ncbi.nlm.nih.gov/articles/PMC3366451/,Use for controlled-device dose and exposure-parameter context. Do not convert study parameters into general consumer recommendations.
