record_id,topic,reference_type,plain_language_meaning,safety_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,related_product_category,notes
THZ-001,Terahertz radiation,Definition,"Terahertz radiation generally refers to electromagnetic radiation between the microwave and infrared regions of the spectrum.","This term should not be used by itself to imply a medical effect or therapeutic outcome.","Educational terminology / device-category context","Basic terminology","Definition","No","Helps explain what terahertz means in consumer wellness device descriptions.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","Use as a neutral spectrum-definition row."
THZ-002,Terahertz frequency range,Measurement concept,"Terahertz is commonly discussed as a frequency band rather than as one single fixed frequency.","Frequency-band language should remain educational and should not be converted into unsupported dose or protocol claims.","Educational terminology / device-category context","Measurement caution","Measurement concept","No","Helps users understand why vague terahertz claims can be difficult to compare.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","Avoid implying that all terahertz devices operate identically."
THZ-003,Consumer terahertz devices,Device category,"Consumer terahertz devices may use terahertz-related language in different ways depending on design, emitter type, wavelength/frequency claims, heat output, and supporting light technologies.","Consumers should review manufacturer instructions and avoid assuming that category language proves a specific biological result.","Consumer comparison context / buyer education","Buyer education / device specification","Device comparison","Yes","Supports clearer comparison between terahertz-labeled wellness devices.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","Useful for separating product-category language from evidence claims."
THZ-004,Terahertz terminology vs medical claims,Claim boundary,"Terahertz terminology can describe a physical category or claimed emission type, but that is separate from proving a medical claim.","Do not treat terahertz labeling as evidence of diagnosis, treatment, cure, prevention, or disease-specific benefit.","Safety guidance / claim-boundary context","Commercial separation","Claim boundary","Yes","Protects Holistix copy from overstating what the technology means.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","Important compliance row."
THZ-005,Non-ionizing context,Radiation category,"Terahertz radiation is generally discussed as part of the non-ionizing region of the electromagnetic spectrum.","Non-ionizing does not automatically mean risk-free; intensity, heat, distance, exposure time, device design, and user condition still matter.","Safety guidance / claim-boundary context","Consumer safety caution","Safety caution","Yes","Helps users avoid the false shortcut that non-ionizing always equals harmless.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","Keep this conservative and safety-focused."
THZ-006,Heating and thermal exposure,Safety context,"Some devices associated with terahertz, infrared, or combined energy delivery may create warmth or thermal sensation.","Users should avoid overheating, burns, prolonged exposure, use over numb skin, or use when heat sensitivity is impaired.","Manufacturer instruction / consumer safety context","Consumer safety caution","Safety caution","Yes","Important for products that combine terahertz claims with heat or infrared-style output.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","Safety row should appear clearly on the page."
THZ-007,Distance from device,Usage context,"Distance can affect perceived intensity, warmth, and exposure characteristics for many light, heat, or energy-emitting devices.","Follow manufacturer instructions. Do not create aggressive exposure routines from general online claims.","Manufacturer instruction / consumer safety context","Consumer safety caution","Usage context","Yes","Useful for safe buyer education without giving a dosage protocol.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","Avoid specific treatment distance instructions."
THZ-008,Exposure time,Usage context,"Exposure time is a major variable in any consumer device that emits light, heat, or energy.","This dataset does not provide dosage protocols. Users should follow device instructions and consult a qualified professional when appropriate.","Manufacturer instruction / consumer safety context","Consumer safety caution","Usage context","Yes","Prevents users from interpreting the dataset as a treatment guide.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","No disease protocols or guaranteed outcomes."
THZ-009,Combined terahertz devices,Device comparison,"Some consumer products may combine terahertz-related positioning with infrared, blue light, red light, heat, massage, airflow, or other features.","When multiple technologies are combined, claims should identify which feature is being discussed and avoid assigning all effects to terahertz alone.","Consumer comparison context / buyer education","Buyer education / device specification","Device comparison","Yes","Helpful for Holistix product education where devices may combine several feature categories.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","Use for multi-modality device clarity."
THZ-010,Device specification transparency,Specification field,"A useful terahertz device listing should separate claimed emission type, light source, heat output, power source, safety instructions, intended use, and disclaimers.","If exact specifications are unavailable, copy should say so rather than imply precision.","Device specification / manufacturer-instruction context","Device specification","Specification field","No","Supports cleaner product-page and comparison-page language.","2026-06-26","https://www.holistixintl.com/pages/terahertz-device-reference-index","Terahertz wellness devices","Good row for future product-spec audits."
