record_id,topic,reference_type,plain_language_meaning,safety_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,related_product_category,notes
PEMF-FREQ-001,PEMF frequency,Definition,"PEMF frequency generally refers to how many electromagnetic pulses or cycles occur per second, measured in hertz.","Frequency should not be used by itself to imply a specific medical effect or guaranteed outcome.","Educational terminology / device-category context","Basic terminology","Definition","No","Helps explain what Hz means on PEMF product pages and comparison pages.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Use as the neutral opening definition."
PEMF-FREQ-002,Hertz Hz,Measurement concept,"Hertz, abbreviated Hz, means cycles per second. A 10 Hz setting means ten cycles per second.","Hz language should remain educational and should not be converted into disease-treatment claims.","Educational terminology / device-category context","Basic terminology","Measurement concept","No","Useful for customers comparing PEMF mats, pads, and portable devices.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Simple glossary row."
PEMF-FREQ-003,Frequency range,Device specification,"A PEMF device may offer one fixed frequency, several preset frequencies, or an adjustable frequency range.","Different devices may define and deliver frequency settings differently, so users should review manufacturer specifications.","Device specification / manufacturer-instruction context","Device specification","Specification field","No","Helps compare PEMF devices without assuming all frequency settings are equivalent.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Good product-comparison row."
PEMF-FREQ-004,Low-frequency PEMF,Category context,"Many consumer PEMF wellness devices use low-frequency settings, often described in single-digit or low double-digit Hz ranges.","Low frequency does not automatically mean safer, stronger, weaker, or medically effective. Device design and instructions still matter.","Consumer comparison context / buyer education","Buyer education / device specification","Device comparison","Yes","Useful for explaining common consumer PEMF category language.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Avoid ranking frequencies as universally best."
PEMF-FREQ-005,Frequency presets,Device specification,"Frequency presets are built-in PEMF settings selected by the device manufacturer.","Preset names should not be treated as medical claims unless supported by intended-use language, evidence, and regulatory status.","Device specification / manufacturer-instruction context","Device specification","Specification field","Yes","Helps clarify preset labels on PEMF devices and manuals.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Important for preventing mode-label overclaiming."
PEMF-FREQ-006,Schumann resonance terminology,Terminology context,"Schumann resonance is often discussed around 7.83 Hz in wellness marketing and PEMF discussions.","References to Schumann resonance should not be used as proof that a consumer PEMF setting produces a medical benefit.","Educational terminology / device-category context","Basic terminology","Definition","Yes","Useful because users commonly search for 7.83 Hz PEMF meaning.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Keep cautious and non-mystical."
PEMF-FREQ-007,7.83 Hz PEMF,Frequency reference,"7.83 Hz is commonly referenced in PEMF and wellness content because of its association with Schumann resonance terminology.","Do not claim 7.83 Hz treats, cures, or prevents disease. Treat it as a frequency reference unless specific evidence and intended-use claims apply.","Safety guidance / claim-boundary context","Commercial separation","Claim boundary","Yes","Helpful for searchers comparing common PEMF frequency settings.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Claim-boundary row for a high-interest frequency."
PEMF-FREQ-008,1 Hz PEMF,Frequency reference,"1 Hz means one cycle per second and may appear as a low-frequency PEMF setting on some devices.","Do not assign a universal biological effect to 1 Hz without device-specific evidence and context.","Educational terminology / device-category context","Basic terminology","Measurement concept","No","Useful for explaining simple PEMF setting labels.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Neutral frequency row."
PEMF-FREQ-009,3 Hz PEMF,Frequency reference,"3 Hz means three cycles per second and may appear as a low-frequency PEMF setting on some devices.","Do not assign a universal biological effect to 3 Hz without device-specific evidence and context.","Educational terminology / device-category context","Basic terminology","Measurement concept","No","Useful for explaining simple PEMF setting labels.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Neutral frequency row."
PEMF-FREQ-010,5 Hz PEMF,Frequency reference,"5 Hz means five cycles per second and may appear as a low-frequency PEMF setting on some devices.","Do not assign a universal biological effect to 5 Hz without device-specific evidence and context.","Educational terminology / device-category context","Basic terminology","Measurement concept","No","Useful for explaining simple PEMF setting labels.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Neutral frequency row."
PEMF-FREQ-011,10 Hz PEMF,Frequency reference,"10 Hz means ten cycles per second and is a commonly discussed PEMF frequency setting.","Do not claim that 10 Hz produces a guaranteed effect across all people, devices, or use cases.","Safety guidance / claim-boundary context","Commercial separation","Claim boundary","Yes","Useful for common PEMF frequency searches and product education.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Avoid universal outcome language."
