record_id,contraindication_or_caution,risk_level,recommendation,plain_language_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,notes,source_name,source_url,citation_note
HOL-PEMF-CONTRA-0001,"Pacemaker, implantable cardioverter-defibrillator, or implanted cardiac electronic device",High,Avoid PEMF use unless specifically cleared by a qualified clinician and the implanted device manufacturer.,PEMF devices generate electromagnetic fields that may interfere with implanted cardiac electronics.,Safety guidance / implanted cardiac device context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,This row should not be interpreted as individualized medical advice.,FDA - Magnets in Cell Phones and Smart Watches May Affect Pacemakers and Other Implanted Medical Devices,https://www.fda.gov/radiation-emitting-products/cell-phones/magnets-cell-phones-and-smart-watches-may-affect-pacemakers-and-other-implanted-medical-devices,"Use as authoritative safety context for the general principle that strong magnetic fields from consumer devices can affect some implanted cardiac devices. Supports implanted-device caution, not PEMF treatment claims."
HOL-PEMF-CONTRA-0002,Implanted electronic medical device,High,Avoid PEMF use unless cleared by a qualified clinician and the device manufacturer.,"This category may include neurostimulators, cochlear implants, implanted pumps, and other active electronic implants.",Safety guidance / implanted electronic device context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Includes active implanted electronics beyond cardiac devices.,FDA - Electromagnetic Compatibility (EMC),https://www.fda.gov/radiation-emitting-products/radiation-safety/electromagnetic-compatibility-emc,Use as broad regulatory context for electromagnetic compatibility and medical-device interference complexity. Supports caution around active implanted electronics and device-manufacturer guidance.
HOL-PEMF-CONTRA-0003,"Pregnancy, possible pregnancy, or trying to become pregnant",High caution,Avoid PEMF use unless specifically cleared by a qualified healthcare professional.,Pregnancy is commonly treated as a precautionary category because safety data may be limited and device guidance varies.,Safety guidance / precautionary use context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Precautionary category; not a treatment recommendation.,PEMF Safety Considerations for Home-Use Devices,https://www.pemfadvisor.com/pemf-therapy/safety-considerations/,Use as consumer-safety context for manufacturer-style precautionary categories such as pregnancy. This is not clinical proof and should not be used to recommend PEMF use during pregnancy.
HOL-PEMF-CONTRA-0004,Epilepsy or seizure history,Caution,Consult a qualified healthcare professional before using PEMF.,"Different PEMF devices use different frequencies, intensities, and pulse patterns, so seizure-related caution is commonly advised.",Safety guidance / medical-history context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Device settings vary widely; professional guidance is appropriate.,PEMF Safety Considerations for Home-Use Devices,https://www.pemfadvisor.com/pemf-therapy/safety-considerations/,"Use as consumer-safety context for seizure-history caution and device-variation warnings. Supports consult-a-professional language, not individualized medical advice."
HOL-PEMF-CONTRA-0005,Insulin pump or implanted drug-delivery pump,High,Avoid PEMF use unless specifically cleared by a qualified clinician and the device manufacturer.,Implanted or wearable electronic pumps may be sensitive to electromagnetic interference.,Safety guidance / electronic pump context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Applies to implanted or wearable electronic pump systems.,FDA - Electromagnetic Compatibility (EMC) of Medical Devices,https://www.fda.gov/media/94758/download,"Use as FDA medical-device EMC guidance context for device systems, accessories, controllers, and safe function in electromagnetic environments. Supports caution for pumps and electronic medical devices."
HOL-PEMF-CONTRA-0006,Cochlear implant or implanted hearing device,High,Avoid PEMF use unless specifically cleared by a qualified clinician and the implant manufacturer.,Cochlear implants are active implanted electronic devices and may be affected by electromagnetic fields.,Safety guidance / implanted hearing-device context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Implant manufacturer guidance should be followed.,FDA - Cochlear Implants and MRI Safety,https://www.fda.gov/medical-devices/cochlear-implants/cochlear-implants-and-mri-safety,"Use as authoritative context that implanted hearing devices can require special precautions in strong electromagnetic environments. Supports manufacturer-guidance caution, not PEMF-specific claims."
HOL-PEMF-CONTRA-0007,Heart rhythm disorder or complex cardiac condition,Caution,Consult a qualified healthcare professional before using PEMF.,"People with cardiac conditions should get individualized guidance, especially if they have implanted devices, arrhythmias, or recent cardiac events.",Safety guidance / cardiac-condition context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Cardiac history may require individualized review.,FDA - Magnets in Cell Phones and Smart Watches May Affect Pacemakers and Other Implanted Medical Devices,https://www.fda.gov/radiation-emitting-products/cell-phones/magnets-cell-phones-and-smart-watches-may-affect-pacemakers-and-other-implanted-medical-devices,Use as cardiac implanted-device safety context for electromagnetic and magnetic-field caution. Supports professional-guidance language for complex cardiac users.
HOL-PEMF-CONTRA-0008,Active bleeding or bleeding disorder,Caution,Consult a qualified healthcare professional before using PEMF.,Some safety guides advise caution around active bleeding or bleeding disorders because PEMF is often discussed in relation to circulation and tissue response.,Safety guidance / bleeding-risk context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Conservative safety framing for bleeding-related concerns.,PEMF Safety Considerations for Home-Use Devices,https://www.pemfadvisor.com/pemf-therapy/safety-considerations/,"Use as conservative consumer-safety context for bleeding-risk caution. Do not convert this row into treatment, circulation, or post-injury protocol guidance."
HOL-PEMF-CONTRA-0009,"Active cancer, recent cancer treatment, or oncology care",Medical supervision,Use only with guidance from a qualified oncology or healthcare professional.,People in cancer care should avoid unsupervised wellness-device use unless their care team clears it.,Safety guidance / complex medical-condition context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,"Avoid implying treatment, prevention, or oncology benefit.",PEMF Safety Considerations for Home-Use Devices,https://www.pemfadvisor.com/pemf-therapy/safety-considerations/,Use as consumer-safety context for complex medical-condition caution and oncology supervision language. Do not use as evidence for cancer-related benefits.
HOL-PEMF-CONTRA-0010,Organ transplant or immune suppression therapy,Medical supervision,Use only with guidance from a qualified healthcare professional.,Some PEMF safety resources flag organ transplant and immune suppression as categories requiring medical supervision.,Safety guidance / complex medical-condition context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Medical complexity requires professional guidance.,PEMF Safety Considerations for Home-Use Devices,https://www.pemfadvisor.com/pemf-therapy/safety-considerations/,Use as consumer-safety context for complex medical-condition and immune-suppression caution. This supports professional-guidance language only.
HOL-PEMF-CONTRA-0011,"Recent surgery, acute injury, or unexplained pain",Caution,Consult a qualified healthcare professional before using PEMF on or near the affected area.,Recent procedures and acute injuries may require individualized care instructions.,Safety guidance / recovery-status context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Do not frame PEMF as post-surgical treatment guidance.,PEMF Safety Considerations for Home-Use Devices,https://www.pemfadvisor.com/pemf-therapy/safety-considerations/,"Use as consumer-safety context for recent surgery, acute injury, and unexplained pain cautions. Do not use to create recovery or post-surgical protocols."
HOL-PEMF-CONTRA-0012,Children or minors,Medical supervision,Use only under appropriate professional or caregiver guidance and according to device instructions.,"Age-related guidance varies by device, and pediatric use should not be assumed safe without appropriate oversight.",Safety guidance / age-specific use context,Consumer safety caution,Safety caution,Yes,PEMF mats / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,Pediatric use should remain conservative and supervised.,PEMF Safety Considerations for Home-Use Devices,https://www.pemfadvisor.com/pemf-therapy/safety-considerations/,Use as conservative home-use safety context for children/minors and supervised-use language. Do not use as pediatric protocol support.
