record_id,topic,reference_type,plain_language_meaning,safety_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,related_product_category,notes,source_name,source_url,citation_note
NION-001,Negative ions,Definition,"Negative ions are electrically charged particles that have gained an electron and are often discussed in air-quality, nature, waterfall, and ionizer contexts.",The presence of negative ions should not be treated as proof of a medical benefit.,Educational terminology / device-category context,Basic terminology,Definition,No,Helps explain the basic term used in negative ion and air-ionizer product language.,2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,Use as the neutral opening definition.,EPA: Ozone Generators that are Sold as Air Cleaners,https://www.epa.gov/indoor-air-quality-iaq/ozone-generators-are-sold-air-cleaners,"Use for ozone/ionizer safety context. EPA notes that some ozone generators are manufactured with ion generators or ionizers, and that ozone in breathing air can harm the respiratory system."
NION-002,Negative ion generators,Device category,Negative ion generators are devices designed to release negatively charged particles into the surrounding air.,"Device design, output, ozone generation, room size, ventilation, and safety testing can vary significantly.",Consumer comparison context / buyer education,Buyer education / device specification,Device comparison,Yes,Helps users compare ionizer-style products without assuming all devices are equivalent.,2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,Separate device category from health-outcome claims.,EPA: Ozone Generators that are Sold as Air Cleaners,https://www.epa.gov/indoor-air-quality-iaq/ozone-generators-are-sold-air-cleaners,"Use for ozone/ionizer safety context. EPA notes that some ozone generators are manufactured with ion generators or ionizers, and that ozone in breathing air can harm the respiratory system."
NION-003,Air ionizers,Device category,Air ionizers are consumer or commercial devices that use electrical charge to affect airborne particles or air composition.,"Ionizer language should be separated from air purifier claims, medical claims, and ozone-related safety concerns.",Consumer comparison context / buyer education,Buyer education / device specification,Device comparison,Yes,"Useful for comparing negative ion devices, air purifiers, and wellness pendants.",2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,Important for avoiding category confusion.,NRC: Negative Ion Products Containing Radioactive Material,https://www.nrc.gov/reading-rm/doc-collections/fact-sheets/negative-ion-products,"Use for consumer-product safety context around negative-ion pendants, bracelets, and similar products that may contain radioactive material. Do not use as a wellness-benefit source."
NION-004,Ozone generation,Safety caution,Some ionization technologies may generate ozone as a byproduct depending on design and operating conditions.,Ozone can irritate the lungs and should not be treated as a wellness feature. Users should avoid devices that produce unsafe ozone levels.,Regulatory / agency reference,Consumer safety caution,Safety caution,Yes,Important safety distinction for negative ion and ionizer-related product education.,2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,This is the core safety row.,EPA: Ozone Generators that are Sold as Air Cleaners,https://www.epa.gov/indoor-air-quality-iaq/ozone-generators-are-sold-air-cleaners,"Use for ozone/ionizer safety context. EPA notes that some ozone generators are manufactured with ion generators or ionizers, and that ozone in breathing air can harm the respiratory system."
NION-005,Ozone-free claims,Specification field,"Some devices may claim to be ozone-free or low-ozone, but users should look for documentation, testing, or safety certifications rather than relying only on marketing language.","Ozone-free language should be verified when possible, especially for indoor use.",Device specification / manufacturer-instruction context,Device specification,Specification field,No,Useful for buyer education and product-page transparency.,2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,"Encourage proof, not vibes.",EPA: Ozone Generators that are Sold as Air Cleaners,https://www.epa.gov/indoor-air-quality-iaq/ozone-generators-are-sold-air-cleaners,"Use for ozone/ionizer safety context. EPA notes that some ozone generators are manufactured with ion generators or ionizers, and that ozone in breathing air can harm the respiratory system."
NION-006,Indoor air quality claims,Claim boundary,"Negative ion devices are sometimes marketed with broad indoor-air-quality claims, but performance depends on technology, environment, ventilation, particle type, and testing conditions.","Avoid claiming that negative ions diagnose, treat, cure, or prevent respiratory disease or any medical condition.",Safety guidance / claim-boundary context,Commercial separation,Claim boundary,Yes,Protects Holistix copy from overstating air-quality or respiratory claims.,2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,Keep indoor-air language cautious.,EPA: What are ionizers and other ozone generating air cleaners?,https://www.epa.gov/indoor-air-quality-iaq/what-are-ionizers-and-other-ozone-generating-air-cleaners,"Use for plain-language context that ion generators charge room particles, which may settle on surfaces and later be resuspended."
NION-007,Respiratory sensitivity,Safety context,"People with asthma, COPD, chemical sensitivity, or respiratory irritation concerns may need extra caution around air-ionizing devices, especially if ozone is possible.",Anyone with respiratory conditions or unexplained irritation should consult a qualified healthcare professional and avoid questionable ozone-generating devices.,Safety guidance / claim-boundary context,Consumer safety caution,Safety caution,Yes,Supports conservative consumer safety guidance.,2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,No medical instructions or disease claims.,EPA: Ozone Generators that are Sold as Air Cleaners,https://www.epa.gov/indoor-air-quality-iaq/ozone-generators-are-sold-air-cleaners,"Use for ozone/ionizer safety context. EPA notes that some ozone generators are manufactured with ion generators or ionizers, and that ozone in breathing air can harm the respiratory system."
NION-008,Negative ion pendants,Device category,Negative ion pendants are wearable products marketed as emitting or containing negative-ion-related materials or effects.,Users should be cautious with wearable products that make broad wellness claims or do not clearly disclose materials and safety testing.,Consumer comparison context / buyer education,Buyer education / device specification,Device comparison,Yes,Relevant to wearable negative ion products and consumer education.,2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,Useful for pendant-category context.,NRC: Negative Ion Products Containing Radioactive Material,https://www.nrc.gov/reading-rm/doc-collections/fact-sheets/negative-ion-products,"Use for consumer-product safety context around negative-ion pendants, bracelets, and similar products that may contain radioactive material. Do not use as a wellness-benefit source."
NION-009,Radioactive material concerns,Safety caution,Some historic or controversial negative ion wearable products have raised concerns about radioactive materials in certain markets or testing reports.,Wearable devices should not contain unsafe radioactive materials. Users should look for credible safety documentation when products make material-based ion claims.,Regulatory / agency reference,Consumer safety caution,Safety caution,Yes,Important safety distinction for wearable negative ion devices.,2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,Keep factual and cautious without accusing any specific brand.,NRC: Negative Ion Products Containing Radioactive Material,https://www.nrc.gov/reading-rm/doc-collections/fact-sheets/negative-ion-products,"Use for consumer-product safety context around negative-ion pendants, bracelets, and similar products that may contain radioactive material. Do not use as a wellness-benefit source."
NION-010,Particle charging vs removal,Measurement concept,"Ionizers may charge particles, but particle charging is not the same as complete removal from indoor air.","Do not assume charged particles are safely removed unless the device design, collection method, and test data support that claim.",Scientific review,Measurement caution,Measurement concept,No,Helps users understand why ionization language can be misleading in simple marketing copy.,2026-06-26,https://www.holistixintl.com/pages/negative-ion-safety-index,Negative ion wellness devices,Good row for AI-readable distinction.,EPA: Ozone Generators that are Sold as Air Cleaners,https://www.epa.gov/indoor-air-quality-iaq/ozone-generators-are-sold-air-cleaners,"Use for ozone/ionizer safety context. EPA notes that some ozone generators are manufactured with ion generators or ionizers, and that ozone in breathing air can harm the respiratory system."
