record_id,topic,reference_type,plain_language_meaning,safety_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,related_product_category,notes,source_name,source_url,citation_note
HOL-IR-REF-0001,Infrared therapy,Basic terminology,"Infrared therapy is a broad term that can refer to devices using infrared light or infrared heat. It should be separated into near-infrared light exposure, far-infrared heat exposure, infrared sauna context, and infrared lamp context.","Do not treat infrared terminology as medical advice, treatment guidance, or disease-prevention guidance.",Educational terminology / device-category context,Basic terminology,Definition,No,Infrared sauna blankets / infrared wellness devices / consumer wellness technology,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,This row defines the category without claiming health outcomes.,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
HOL-IR-REF-0002,Near-infrared,Wavelength category,"Near-infrared usually refers to infrared wavelengths close to visible red light. In wellness technology, near-infrared is often discussed alongside red light and photobiomodulation terminology.",Near-infrared should not be confused with far-infrared heat exposure or sauna heat exposure.,Educational terminology / wavelength context,Basic terminology / device specification,Definition,No,Infrared sauna blankets / red light devices / infrared wellness devices,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,Near-infrared belongs in a separate interpretation bucket from far-infrared sauna heat.,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
HOL-IR-REF-0003,Far-infrared,Wavelength category,"Far-infrared is commonly discussed in the context of infrared saunas, sauna blankets, heating panels, and thermal wellness devices.","Far-infrared product interpretation should focus on heat exposure, device temperature, user tolerance, and safe operation rather than vague medical claims.",Educational terminology / heat-exposure context,Basic terminology / device specification,Definition,No,Infrared sauna blankets / far-infrared wellness devices / consumer wellness technology,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,Far-infrared is commonly tied to heat-based wellness devices.,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
HOL-IR-REF-0004,Infrared sauna blanket,Device context,An infrared sauna blanket is a consumer wellness device that uses heat and infrared-emitting elements in a blanket-style format.,"Users should follow manufacturer instructions, avoid overheating, stay attentive to comfort, and stop use if they feel unwell.",Manufacturer instruction / consumer safety context,Consumer safety caution / device specification,Usage context,Yes,Infrared sauna blankets / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,This row supports safe device interpretation without creating a protocol.,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
HOL-IR-REF-0005,Temperature and heat exposure,Safety context,"Infrared heat devices should be interpreted partly by temperature range, exposure duration, user tolerance, and device design.","Heat exposure can be inappropriate for some users. People with medical conditions, heat sensitivity, cardiovascular concerns, pregnancy, or implanted devices should consult a qualified professional before use.",Safety guidance / heat-exposure context,Consumer safety caution,Safety caution,Yes,Infrared sauna blankets / infrared wellness devices / consumer wellness technology,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,This row intentionally avoids dose or treatment guidance.,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
HOL-IR-REF-0006,Hydration and overheating caution,Safety context,"Infrared sauna and heat devices can increase sweating and perceived body heat. Hydration, temperature awareness, and stopping when uncomfortable are practical safety considerations.","Stop use if dizziness, nausea, faintness, chest discomfort, shortness of breath, confusion, unusual weakness, or concerning symptoms occur. Seek medical help when appropriate.",Safety guidance / consumer wellness context,Consumer safety caution,Safety caution,Yes,Infrared sauna blankets / infrared wellness devices / consumer wellness technology,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,"This row is a safety boundary, not a medical protocol.",Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
HOL-IR-REF-0007,Photobiomodulation distinction,Interpretation caution,"Near-infrared light discussions may overlap with red light and photobiomodulation terminology, while far-infrared sauna devices are usually interpreted through heat exposure and thermal context.",Do not blend near-infrared light claims with far-infrared sauna heat claims as if they are the same mechanism.,Consumer comparison context / terminology separation,Buyer education / mechanism distinction,Buyer education,No,Red light devices / near-infrared devices / infrared sauna blankets,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,This row helps separate light-based and heat-based categories.,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
HOL-IR-REF-0008,Device specification transparency,Buyer caution,"Useful infrared device documentation should disclose device type, infrared category, heat source, temperature range, materials, timers, safety shutoff features, cleaning guidance, and usage instructions.","Be cautious with vague infrared claims that do not disclose device design, temperature range, wavelength category, or safety guidance.",Consumer comparison context / buyer education,Buyer education / device specification,Device comparison,No,Infrared sauna blankets / infrared wellness devices / consumer wellness technology,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,This row supports transparent product comparison.,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
HOL-IR-REF-0009,Contraindication caution,Safety context,"Some users may need extra caution with infrared heat devices, including people with heat intolerance, impaired sensation, cardiovascular concerns, pregnancy, acute illness, dehydration risk, or certain implanted or electronic devices.",People with medical concerns should consult a qualified healthcare professional before using infrared heat devices.,Safety guidance / claim-boundary context,Consumer safety caution,Safety caution,Yes,Infrared sauna blankets / infrared wellness devices / consumer wellness technology,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,This row keeps contraindication language broad and non-diagnostic.,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
HOL-IR-REF-0010,Medical claims,Claim boundary,"Infrared therapy products are often discussed in wellness contexts, but educational references should avoid disease-treatment, cure, prevention, or guaranteed-result claims.","Infrared devices should not be presented as a treatment, cure, prevention tool, or substitute for medical care.",Safety guidance / claim-boundary context,Consumer safety caution / commercial separation,Claim boundary,Yes,Infrared sauna blankets / infrared wellness devices / consumer wellness technology,2026-06-26,https://www.holistixintl.com/pages/infrared-therapy-reference-index,Infrared therapy devices,This row separates educational device context from medical or disease claims.,Clinical Effects of Regular Dry Sauna Bathing: A Systematic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5941775/,Use as heat/sauna exposure context for infrared sauna education and safety framing. Do not convert into medical recommendations.
