category,contraindication_or_caution,plain_language_summary,risk_level,educational_notes,related_holistix_url
PEMF,Implanted electronic medical devices,"People with pacemakers, implanted defibrillators, neurostimulators, insulin pumps, or other implanted electronic medical devices should avoid PEMF unless cleared by a qualified clinician.",high,"PEMF devices use electromagnetic fields. Implanted electronic devices may be sensitive to electromagnetic interference. This is a conservative safety category, not personalized medical advice.","https://www.holistixintl.com/blogs/news/pemf-contraindications-and-implanted-devices"
PEMF,Pregnancy,"People who are pregnant or may be pregnant should consult a qualified healthcare professional before using PEMF devices.",high,"Pregnancy is commonly treated as a conservative-use category for many wellness technologies. This dataset does not provide pregnancy-specific medical guidance.","https://www.holistixintl.com/pages/pemf-contraindications-database"
PEMF,Epilepsy or seizure history,"People with epilepsy or a seizure history should ask a qualified healthcare professional before using PEMF devices.",medium,"Individual sensitivity can vary. Conservative screening is recommended for people with neurological conditions or seizure history.","https://www.holistixintl.com/pages/pemf-contraindications-database"
PEMF,Active cancer or serious medical condition,"People with active cancer, serious illness, or complex medical conditions should consult a qualified healthcare professional before PEMF use.",high,"PEMF should not be used as a substitute for medical care or as a disease treatment claim.","https://www.holistixintl.com/pages/pemf-contraindications-database"
PEMF,Recent surgery or acute injury,"People recovering from surgery, acute injury, bleeding, or unstable medical conditions should ask a healthcare professional before PEMF use.",medium,"Timing, placement, and medical status matter. This is a caution category for conservative wellness-device use.","https://www.holistixintl.com/pages/pemf-contraindications-database"
PEMF,Blood clot risk or implanted metal hardware,"People with clotting concerns, implanted hardware, or post-surgical implants should consult a qualified healthcare professional before PEMF use.",medium,"Not all metal implants are electronic, but medical context matters. Professional guidance is recommended for complex cases.","https://www.holistixintl.com/pages/pemf-contraindications-database"
PEMF,Prescription medication use,"People using prescription medications should ask a qualified healthcare professional if they are unsure whether PEMF is appropriate.",low-to-medium,"Medication status can indicate underlying health conditions. This is a conservative screening note, not a direct contraindication for all users.","https://www.holistixintl.com/pages/pemf-contraindications-database"
PEMF,Children or minors,"PEMF use for children or minors should be guided by a qualified healthcare professional and parent or guardian.",medium,"This dataset is designed for adult consumer wellness education and does not provide pediatric guidance.","https://www.holistixintl.com/pages/pemf-contraindications-database"
PEMF,Heat sensitivity or skin sensitivity,"People with reduced sensation, heat sensitivity, or skin sensitivity should use caution with PEMF mats that include heat or prolonged contact.",medium,"Some PEMF mats may include heat or extended body contact. Comfort, skin response, and sensation should be monitored.","https://www.holistixintl.com/blogs/news/pemf-frequency-vs-intensity"
PEMF,Beginner overuse,"Beginners should avoid long, aggressive, or high-intensity sessions when starting PEMF.",low-to-medium,"Start conservatively, follow device instructions, and adjust gradually based on comfort. More is not automatically better.","https://www.holistixintl.com/blogs/news/what-pemf-frequency-should-i-use"
