record_id,topic,reference_type,plain_language_meaning,safety_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,related_product_category,notes,source_name,source_url,citation_note
PEMF-FREQ-001,PEMF frequency,Definition,"PEMF frequency generally refers to how many electromagnetic pulses or cycles occur per second, measured in hertz.",Frequency should not be used by itself to imply a specific medical effect or guaranteed outcome.,Educational terminology / device-category context,Basic terminology,Definition,No,Helps explain what Hz means on PEMF product pages and comparison pages.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Use as the neutral opening definition.,The Use of Pulsed Electromagnetic Field to Modulate Inflammation and Improve Tissue Regeneration,https://pmc.ncbi.nlm.nih.gov/articles/PMC8370292/,"Use as broad PEMF parameter context. Supports the idea that PEMF is described using parameters such as frequency, intensity, waveform, and exposure time. Do not use as a disease-treatment claim."
PEMF-FREQ-002,Hertz Hz,Measurement concept,"Hertz, abbreviated Hz, means cycles per second. A 10 Hz setting means ten cycles per second.",Hz language should remain educational and should not be converted into disease-treatment claims.,Educational terminology / device-category context,Basic terminology,Measurement concept,No,"Useful for customers comparing PEMF mats, pads, and portable devices.",2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Simple glossary row.,SI Units - Time | NIST,https://www.nist.gov/pml/owm/si-units-time,Use for the basic definition of hertz as the SI unit of frequency equal to one cycle per second.
PEMF-FREQ-003,Frequency range,Device specification,"A PEMF device may offer one fixed frequency, several preset frequencies, or an adjustable frequency range.","Different devices may define and deliver frequency settings differently, so users should review manufacturer specifications.",Device specification / manufacturer-instruction context,Device specification,Specification field,No,Helps compare PEMF devices without assuming all frequency settings are equivalent.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Good product-comparison row.,The Use of Pulsed Electromagnetic Field to Modulate Inflammation and Improve Tissue Regeneration,https://pmc.ncbi.nlm.nih.gov/articles/PMC8370292/,"Use for general PEMF device-parameter context, including frequency, intensity, waveform, and exposure time. Do not imply all devices are equivalent."
PEMF-FREQ-004,Low-frequency PEMF,Category context,"Many consumer PEMF wellness devices use low-frequency settings, often described in single-digit or low double-digit Hz ranges.","Low frequency does not automatically mean safer, stronger, weaker, or medically effective. Device design and instructions still matter.",Consumer comparison context / buyer education,Buyer education / device specification,Device comparison,Yes,Useful for explaining common consumer PEMF category language.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Avoid ranking frequencies as universally best.,Pulsed Electromagnetic Field Stimulation: Healing at the Cellular Level,https://pmc.ncbi.nlm.nih.gov/articles/PMC2672058/,Use as general low-frequency PEMF background and device-category context. Keep the row educational and avoid claiming one frequency range is universally best.
PEMF-FREQ-005,Frequency presets,Device specification,Frequency presets are built-in PEMF settings selected by the device manufacturer.,"Preset names should not be treated as medical claims unless supported by intended-use language, evidence, and regulatory status.",Device specification / manufacturer-instruction context,Device specification,Specification field,Yes,Helps clarify preset labels on PEMF devices and manuals.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Important for preventing mode-label overclaiming.,The Use of Pulsed Electromagnetic Field to Modulate Inflammation and Improve Tissue Regeneration,https://pmc.ncbi.nlm.nih.gov/articles/PMC8370292/,"Use for the concept that PEMF settings are part of a broader parameter set. Preset labels should be treated as manufacturer/device-specific, not universal biological rules."
PEMF-FREQ-006,Schumann resonance terminology,Terminology context,Schumann resonance is often discussed around 7.83 Hz in wellness marketing and PEMF discussions.,References to Schumann resonance should not be used as proof that a consumer PEMF setting produces a medical benefit.,Educational terminology / device-category context,Basic terminology,Definition,Yes,Useful because users commonly search for 7.83 Hz PEMF meaning.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Keep cautious and non-mystical.,STOLCVIKTOR - Science@NASA,https://science.nasa.gov/wp-content/uploads/2023/05/154_48a5766284d47dc2523cb38d856654f6_STOLCVIKTOR.pdf,Use only for Schumann resonance terminology and the commonly cited 7.8 Hz range. Do not use as proof of wellness benefits.
PEMF-FREQ-007,7.83 Hz PEMF,Frequency reference,7.83 Hz is commonly referenced in PEMF and wellness content because of its association with Schumann resonance terminology.,"Do not claim 7.83 Hz treats, cures, or prevents disease. Treat it as a frequency reference unless specific evidence and intended-use claims apply.",Safety guidance / claim-boundary context,Commercial separation,Claim boundary,Yes,Helpful for searchers comparing common PEMF frequency settings.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Claim-boundary row for a high-interest frequency.,STOLCVIKTOR - Science@NASA,https://science.nasa.gov/wp-content/uploads/2023/05/154_48a5766284d47dc2523cb38d856654f6_STOLCVIKTOR.pdf,Use only for 7.8 Hz Schumann resonance reference context. Do not claim that 7.83 Hz PEMF reproduces Earth resonance effects or creates specific outcomes.
PEMF-FREQ-008,1 Hz PEMF,Frequency reference,1 Hz means one cycle per second and may appear as a low-frequency PEMF setting on some devices.,Do not assign a universal biological effect to 1 Hz without device-specific evidence and context.,Educational terminology / device-category context,Basic terminology,Measurement concept,No,Useful for explaining simple PEMF setting labels.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Neutral frequency row.,SI Units - Time | NIST,https://www.nist.gov/pml/owm/si-units-time,"Use for the basic interpretation of 1 Hz as one cycle per second. This supports measurement language only, not a use recommendation."
PEMF-FREQ-009,3 Hz PEMF,Frequency reference,3 Hz means three cycles per second and may appear as a low-frequency PEMF setting on some devices.,Do not assign a universal biological effect to 3 Hz without device-specific evidence and context.,Educational terminology / device-category context,Basic terminology,Measurement concept,No,Useful for explaining simple PEMF setting labels.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Neutral frequency row.,SI Units - Time | NIST,https://www.nist.gov/pml/owm/si-units-time,"Use for the basic interpretation of hertz/cycles per second. This supports measurement language only, not a use recommendation."
PEMF-FREQ-010,5 Hz PEMF,Frequency reference,5 Hz means five cycles per second and may appear as a low-frequency PEMF setting on some devices.,Do not assign a universal biological effect to 5 Hz without device-specific evidence and context.,Educational terminology / device-category context,Basic terminology,Measurement concept,No,Useful for explaining simple PEMF setting labels.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Neutral frequency row.,SI Units - Time | NIST,https://www.nist.gov/pml/owm/si-units-time,"Use for the basic interpretation of hertz/cycles per second. This supports measurement language only, not a use recommendation."
PEMF-FREQ-011,10 Hz PEMF,Frequency reference,10 Hz means ten cycles per second and is a commonly discussed PEMF frequency setting.,"Do not claim that 10 Hz produces a guaranteed effect across all people, devices, or use cases.",Safety guidance / claim-boundary context,Commercial separation,Claim boundary,Yes,Useful for common PEMF frequency searches and product education.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Avoid universal outcome language.,SI Units - Time | NIST,https://www.nist.gov/pml/owm/si-units-time,"Use for the basic interpretation of hertz/cycles per second. This supports measurement language only, not a use recommendation."
PEMF-FREQ-012,20 Hz PEMF,Frequency reference,20 Hz means twenty cycles per second and may appear in adjustable PEMF devices or preset programs.,"Device design, waveform, intensity, session length, placement, and instructions matter along with frequency.",Consumer comparison context / buyer education,Measurement caution,Measurement concept,No,Useful for explaining that Hz is only one device variable.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Good variable-context row.,SI Units - Time | NIST,https://www.nist.gov/pml/owm/si-units-time,"Use for the basic interpretation of hertz/cycles per second. This supports measurement language only, not a use recommendation."
PEMF-FREQ-013,30 Hz PEMF,Frequency reference,30 Hz means thirty cycles per second and may appear at the upper end of some consumer low-frequency PEMF devices.,Users should follow manufacturer instructions and avoid assuming higher frequency means better results.,Manufacturer instruction / consumer safety context,Consumer safety caution,Usage context,Yes,Relevant to products with 1 to 30 Hz-style frequency ranges.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Good for Holistix PEMF range explanation.,SI Units - Time | NIST,https://www.nist.gov/pml/owm/si-units-time,"Use for the basic interpretation of hertz/cycles per second. This supports measurement language only, not a use recommendation."
PEMF-FREQ-014,Frequency is not intensity,Measurement concept,"Frequency describes timing, while intensity, field strength, waveform, pulse shape, coil design, and exposure area describe other device characteristics.",A device should not be judged by frequency alone. Frequency is only one part of the technical profile.,Device specification / manufacturer-instruction context,Measurement caution,Measurement concept,No,Helps prevent misleading PEMF comparison shopping.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Important technical education row.,The Use of Pulsed Electromagnetic Field to Modulate Inflammation and Improve Tissue Regeneration,https://pmc.ncbi.nlm.nih.gov/articles/PMC8370292/,"Use for explaining that frequency is only one PEMF parameter and should be separated from intensity, waveform, and exposure time."
PEMF-FREQ-015,Waveform,Device specification,Waveform describes the shape or pattern of the electromagnetic signal over time.,"Waveform claims should be explained as device specifications, not as proof of medical benefit.",Device specification / manufacturer-instruction context,Device specification,Specification field,No,Useful for future PEMF product-spec and buyer-guide content.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Adds technical depth without claims.,The Use of Pulsed Electromagnetic Field to Modulate Inflammation and Improve Tissue Regeneration,https://pmc.ncbi.nlm.nih.gov/articles/PMC8370292/,Use for general PEMF parameter context including waveform. Avoid treating waveform labels as standalone efficacy claims.
PEMF-FREQ-016,Intensity and field strength,Device specification,"PEMF intensity or field strength describes how strong the magnetic field is, often discussed separately from frequency.",Users should not compare devices by Hz alone because strength and delivery method can differ substantially.,Consumer comparison context / buyer education,Device specification,Specification field,No,Supports more honest PEMF device comparisons.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,Buyer-education row.,The Use of Pulsed Electromagnetic Field to Modulate Inflammation and Improve Tissue Regeneration,https://pmc.ncbi.nlm.nih.gov/articles/PMC8370292/,Use for field-strength/intensity context as a separate PEMF parameter from frequency. Supports device-specification transparency.
PEMF-FREQ-017,Session duration,Usage context,Session duration is a separate variable from frequency and may affect user experience and safety guidance.,This dataset does not provide PEMF dosage protocols. Users should follow manufacturer instructions and consult a qualified professional when appropriate.,Manufacturer instruction / consumer safety context,Consumer safety caution,Usage context,Yes,Prevents frequency education from becoming treatment advice.,2026-06-26,https://www.holistixintl.com/pages/pemf-frequency-index,PEMF wellness devices,No treatment schedules.,Effects of pulsed electromagnetic field therapy at different frequencies and durations,https://pmc.ncbi.nlm.nih.gov/articles/PMC5835831/,Use for the concept that exposure duration is a separate variable from frequency. Do not convert into consumer session-duration instructions.
PEMF-FREQ-018,Contraindications and precautions,Safety context,"PEMF use may require caution for people with implanted electronic devices, pregnancy, seizure history, active bleeding concerns, or other individual risk factors depending on device labeling.","Users should review contraindications, follow manufacturer warnings, and consult a qualified healthcare professional when risk factors are present.",Safety guidance / claim-boundary context,Consumer safety caution,Safety caution,Yes,Connects frequency education to the PEMF Contraindications Database.,2026-06-26,https://www.holistixintl.com/pages/pemf-contraindications-database,PEMF wellness devices,Cross-link concept to contraindications page.,Devices That May Interfere With ICDs and Pacemakers | American Heart Association,https://www.heart.org/en/health-topics/arrhythmia/prevention--treatment-of-arrhythmia/devices-that-may-interfere-with-icds-and-pacemakers,Use for implanted electronic device caution and general electromagnetic-interference safety framing. Keep professional-consultation language.
