record_id,topic,reference_type,plain_language_meaning,safety_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,related_product_category,notes,source_name,source_url,citation_note
HOL-H2-REF-0001,Molecular hydrogen,Basic terminology,"Molecular hydrogen, written as H2, is a dissolved gas that may be present in hydrogen water. Hydrogen water should be described by measurable hydrogen concentration rather than vague wellness claims.",Do not treat hydrogen water terminology as medical advice or disease guidance.,Educational terminology / chemistry context,Basic terminology,Definition,No,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,This row defines the term H2 without making health claims.,Hydrogen Water: Extra Healthy or a Hoax? A Systematic Review,https://www.mdpi.com/1422-0067/25/2/973,Use as broad review support for defining hydrogen water as regular water with added molecular hydrogen gas. Do not use as a disease-treatment claim.
HOL-H2-REF-0002,Dissolved hydrogen concentration,Measurement concept,"Dissolved hydrogen concentration describes how much molecular hydrogen is present in water, commonly reported in parts per billion or parts per million.","Hydrogen concentration can change over time after production, especially with storage, heat, agitation, or an unsealed container.",Educational terminology / measurement context,Basic terminology / device specification,Measurement concept,No,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,Concentration values should include measurement context when possible.,Calculating The Dose Of H2 - Molecular Hydrogen Institute,https://molecularhydrogeninstitute.org/calculating-the-dose-of-h2/,"Use for dissolved hydrogen concentration terminology, including ppm and mg/L measurement context. Keep as measurement education, not dosing guidance."
HOL-H2-REF-0003,PPB and PPM,Measurement units,PPB means parts per billion and PPM means parts per million. These units are often used to describe dissolved hydrogen concentration in water.,PPB and PPM should not be confused with ORP or unrelated water-quality claims.,Educational terminology / measurement-unit context,Basic terminology,Measurement concept,No,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,1 ppm equals 1000 ppb.,Calculating The Dose Of H2 - Molecular Hydrogen Institute,https://molecularhydrogeninstitute.org/calculating-the-dose-of-h2/,"Use for ppm, ppb, and mg/L unit relationships, including the practical conversion that 1 ppm equals 1000 ppb."
HOL-H2-REF-0004,ORP,Measurement caution,"ORP means oxidation-reduction potential. It is sometimes used in marketing, but ORP is not the same thing as dissolved molecular hydrogen concentration.","Do not use ORP alone as proof of hydrogen concentration, product quality, or health benefit.",Consumer comparison context / buyer education,Buyer education / measurement caution,Buyer education,No,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,ORP can be affected by multiple factors and should not replace H2 concentration measurement.,ORP should not be used to estimate or compare concentrations of aqueous H2,https://www.frontiersin.org/journals/food-science-and-technology/articles/10.3389/frfst.2022.1007001/full,Use for the caution that ORP should not be used alone to estimate or compare dissolved molecular hydrogen concentration.
HOL-H2-REF-0005,Electrolysis,Device mechanism,"Many hydrogen water bottles generate hydrogen through electrolysis, where electrical current is used to separate water molecules and generate hydrogen gas.","Consumers should follow manufacturer instructions, cleaning guidance, and water-type recommendations.",Device specification / manufacturer-instruction context,Device specification,Usage context,No,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,"This row describes a device mechanism, not a medical effect.",Electrolytic hydrogen-generating bottle supplies drinking water with hydrogen molecules,https://pmc.ncbi.nlm.nih.gov/articles/PMC8130662/,Use as device-mechanism context for electrolysis-based hydrogen-generating bottles and measurement of dissolved hydrogen. Do not use as a product-performance claim.
HOL-H2-REF-0006,Hydrogen retention,Storage context,"Hydrogen gas can escape from water over time, especially in open containers. Retention may depend on container design, pressure, seal quality, time, and temperature.",Drink timing and storage should follow manufacturer instructions and should not be treated as medical guidance.,Educational terminology / storage context,Buyer education / device specification,Usage context,No,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,Hydrogen retention is a practical consumer-context topic.,Hydrogen Water: Extra Healthy or a Hoax? A Systematic Review,https://www.mdpi.com/1422-0067/25/2/973,Use for general hydrogen-water context including hydrogen gas dissolved in water and the practical issue that dissolved hydrogen may persist only for a limited time depending on conditions.
HOL-H2-REF-0007,Testing strips and meters,Measurement caution,"Some consumers use test drops, strips, or meters to estimate dissolved hydrogen, but testing methods vary in accuracy and interpretation.",Testing results should be interpreted carefully and compared only when methods are similar.,Consumer comparison context / measurement caution,Buyer education / measurement caution,Device comparison,No,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,Testing method transparency is important for comparison.,Understanding Hydrogen Water Testing Methods - Molecular Hydrogen Institute,https://molecularhydrogeninstitute.org/understanding-hydrogen-water-testing-methods/,"Use for consumer testing-method context, including reagent methods, meters, and the need to interpret hydrogen-water tests carefully."
HOL-H2-REF-0008,Device transparency,Buyer caution,"Useful hydrogen water device documentation should disclose measurable hydrogen concentration, generation method, container design, cleaning guidance, and usage instructions.","Be cautious of vague claims that do not disclose concentration, testing method, or device specifications.",Consumer comparison context / buyer education,Buyer education / device specification,Device comparison,No,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,This row supports transparent comparison without making medical claims.,Understanding Hydrogen Water Testing Methods - Molecular Hydrogen Institute,https://molecularhydrogeninstitute.org/understanding-hydrogen-water-testing-methods/,"Use to support transparency around testing method, concentration reporting, and measurement limitations when comparing hydrogen-water devices."
HOL-H2-REF-0009,Health claims,Claim boundary,"Hydrogen water products are often discussed in wellness contexts, but educational references should avoid disease, treatment, cure, prevention, or guaranteed-result claims.","Hydrogen water should not be presented as a treatment, cure, prevention tool, or substitute for medical care.",Safety guidance / claim-boundary context,Consumer safety caution / commercial separation,Claim boundary,Yes,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,This row helps separate educational terminology from medical or disease claims.,Hydrogen Water: Extra Healthy or a Hoax? A Systematic Review,https://www.mdpi.com/1422-0067/25/2/973,"Use as broad research-context support while keeping Holistix language conservative and avoiding disease, treatment, cure, prevention, or guaranteed-result claims."
HOL-H2-REF-0010,Cleaning and maintenance,Use context,"Hydrogen water devices may require cleaning, drying, filter replacement, or maintenance depending on device design and manufacturer instructions.","Follow manufacturer cleaning instructions and avoid using damaged, dirty, or malfunctioning devices.",Manufacturer instruction / consumer safety context,Consumer safety caution / device specification,Usage context,Yes,Hydrogen water bottles / hydrogen water devices / consumer wellness devices,2026-06-26,https://www.holistixintl.com/pages/hydrogen-water-reference-index,Hydrogen water devices,Cleaning and maintenance are practical safety and device-longevity topics.,Electrolytic hydrogen-generating bottle supplies drinking water with hydrogen molecules,https://pmc.ncbi.nlm.nih.gov/articles/PMC8130662/,"Use as electrolysis-device safety context, especially because the study measured byproducts such as chlorine and ozone. Keep cleaning and maintenance guidance tied to manufacturer instructions."
